n_estimators,criterion,mse
50,squared_error,0.012271064662885411
50,friedman_mse,0.01204416740391978
50,poisson,0.012103709307094205
55,squared_error,0.01211037086392608
55,friedman_mse,0.01228227717574444
55,poisson,0.012137237249381363
60,squared_error,0.012047228532141921
60,friedman_mse,0.011669344241729307
60,poisson,0.011768387819915195
65,squared_error,0.011747071875080848
65,friedman_mse,0.011829829397755318
65,poisson,0.011893429232598684
70,squared_error,0.01182387183566938
70,friedman_mse,0.011784794257092173
70,poisson,0.01194798659332659
75,squared_error,0.011928487655670297
75,friedman_mse,0.011840419757215314
75,poisson,0.011881049673830104
80,squared_error,0.011715080355778501
80,friedman_mse,0.011690769336684179
80,poisson,0.011834081735859286
85,squared_error,0.011673898983862467
85,friedman_mse,0.011549904702564786
85,poisson,0.01185018313369715
90,squared_error,0.01183411698267069
90,friedman_mse,0.011786340789890272
90,poisson,0.011912760883342578
95,squared_error,0.011726702502092934
95,friedman_mse,0.011629272432149009
95,poisson,0.011622052189721045
