c,epsilon,kernel,mse
0.001,0.001,linear,0.009240907380137746
0.001,0.001,poly,0.07437356801247191
0.001,0.001,rbf,0.09776456268109637
0.001,0.01,linear,0.009240605280875828
0.001,0.01,poly,0.07440967380024154
0.001,0.01,rbf,0.09799299607093859
0.001,0.1,linear,0.011585273510952846
0.001,0.1,poly,0.07684954664371246
0.001,0.1,rbf,0.10073967644248413
0.001,1.0,linear,0.2544672653959425
0.001,1.0,poly,0.2801977314181553
0.001,1.0,rbf,0.269332170287029
0.01,0.001,linear,0.00553498930711286
0.01,0.001,poly,0.024380516604121064
0.01,0.001,rbf,0.020709240442550965
0.01,0.01,linear,0.005547625217994748
0.01,0.01,poly,0.024455890443574525
0.01,0.01,rbf,0.020691785066481075
0.01,0.1,linear,0.0063396304136694535
0.01,0.1,poly,0.02661857614643426
0.01,0.1,rbf,0.024151688428683225
0.01,1.0,linear,0.27509620663450646
0.01,1.0,poly,0.25912869996510585
0.01,1.0,rbf,0.2452703320835847
0.1,0.001,linear,0.005592688516533626
0.1,0.001,poly,0.012173438843837064
0.1,0.001,rbf,0.006367875552990324
0.1,0.01,linear,0.005520558089046942
0.1,0.01,poly,0.012185216925790318
0.1,0.01,rbf,0.0063582289145297346
0.1,0.1,linear,0.00602585772966977
0.1,0.1,poly,0.014182889174545693
0.1,0.1,rbf,0.008330050112015592
0.1,1.0,linear,0.2771443217975967
0.1,1.0,poly,0.24842877776266814
0.1,1.0,rbf,0.2525384515961139
1.0,0.001,linear,0.005620130646520665
1.0,0.001,poly,0.010433906435340132
1.0,0.001,rbf,0.004959712466449493
1.0,0.01,linear,0.005588485561468795
1.0,0.01,poly,0.010366430587019968
1.0,0.01,rbf,0.004977608018278964
1.0,0.1,linear,0.006024985956630823
1.0,0.1,poly,0.012756101786095207
1.0,0.1,rbf,0.006727475112267521
1.0,1.0,linear,0.2771443217975967
1.0,1.0,poly,0.24885166336553932
1.0,1.0,rbf,0.25668556141418786
