n_estimators,criterion,mse
50,squared_error,0.03607863824002623
50,friedman_mse,0.03549408147628112
50,poisson,0.03612301685863406
55,squared_error,0.035602428258521626
55,friedman_mse,0.03565984233044017
55,poisson,0.03575610431791197
60,squared_error,0.035807601756081074
60,friedman_mse,0.03565627364186385
60,poisson,0.03559066311770964
65,squared_error,0.035539616321465
65,friedman_mse,0.03559824359959053
65,poisson,0.03569715889383467
70,squared_error,0.035587232051110015
70,friedman_mse,0.03531710622969996
70,poisson,0.03565823858327727
75,squared_error,0.035958228674602175
75,friedman_mse,0.035326963495316985
75,poisson,0.03540312360548578
80,squared_error,0.03597666343963684
80,friedman_mse,0.03516671967456814
80,poisson,0.03558530290372763
85,squared_error,0.03572296767353434
85,friedman_mse,0.03564224554260042
85,poisson,0.03546440461604423
90,squared_error,0.035022659204694245
90,friedman_mse,0.035317131121880604
90,poisson,0.03546314094504465
95,squared_error,0.03532649113756639
95,friedman_mse,0.035597764414092896
95,poisson,0.03538349704184069
