c,epsilon,kernel,mse
0.001,0.001,linear,0.008381501828722047
0.001,0.001,poly,0.155872601884962
0.001,0.001,rbf,0.09611939808390123
0.001,0.01,linear,0.008403145460214284
0.001,0.01,poly,0.15583484034617925
0.001,0.01,rbf,0.09626267235516607
0.001,0.1,linear,0.010286159449333022
0.001,0.1,poly,0.1561049297955371
0.001,0.1,rbf,0.0989519800494064
0.001,1.0,linear,0.25923551741509626
0.001,1.0,poly,0.28846165025674675
0.001,1.0,rbf,0.2722895922106269
0.01,0.001,linear,0.006407860884771968
0.01,0.001,poly,0.07887006357580068
0.01,0.001,rbf,0.023184089736944396
0.01,0.01,linear,0.006368402278502515
0.01,0.01,poly,0.07881984980332517
0.01,0.01,rbf,0.023226447041856346
0.01,0.1,linear,0.006657550891801971
0.01,0.1,poly,0.08053389046170693
0.01,0.1,rbf,0.02618920560804613
0.01,1.0,linear,0.2783285303996336
0.01,1.0,poly,0.28385998897346076
0.01,1.0,rbf,0.24595223094860358
0.1,0.001,linear,0.006406791240727126
0.1,0.001,poly,0.03280004138895198
0.1,0.001,rbf,0.00805708973816969
0.1,0.01,linear,0.006359584736055892
0.1,0.01,poly,0.03290217984105019
0.1,0.01,rbf,0.00809115031787676
0.1,0.1,linear,0.006671763811026009
0.1,0.1,poly,0.03641392100583868
0.1,0.1,rbf,0.010095883728732562
0.1,1.0,linear,0.28040711263479295
0.1,1.0,poly,0.2584075828152545
0.1,1.0,rbf,0.2424837149004316
1.0,0.001,linear,0.00640704614928713
1.0,0.001,poly,0.02608879698437978
1.0,0.001,rbf,0.006427395864074709
1.0,0.01,linear,0.0063658085133131625
1.0,0.01,poly,0.026097871045405598
1.0,0.01,rbf,0.006488690442441128
1.0,0.1,linear,0.0067225592450354185
1.0,0.1,poly,0.02842318733900566
1.0,0.1,rbf,0.008446080582812354
1.0,1.0,linear,0.28040711263479295
1.0,1.0,poly,0.25865827124971547
1.0,1.0,rbf,0.2471160494347566
